nodeName	altName	nodeAttr[nodesPresent, ]
FGFBP1	NA	green
IQGAP3	NA	green
NEK2	NA	green
UBE2C	NA	green
SAPCD2	NA	green
CENPF	NA	green
LY6D	NA	green
UBE2T	NA	green
ECT2	NA	green
CDC25C	NA	green
CEP55	NA	green
TP73	NA	green
PBK	NA	green
KIF4A	NA	green
CKS1B	NA	green
SPC25	NA	green
MELK	NA	green
TPX2	NA	green
CDK1	NA	green
FAM83D	NA	green
CDC6	NA	green
AURKA	NA	green
RIBC2	NA	green
SKA3	NA	green
S100A2	NA	green
ANLN	NA	green
PLK1	NA	green
KIF14	NA	green
DTL	NA	green
HRASLS2	NA	green
CCNB1	NA	green
CDC45	NA	green
CDC20	NA	green
E2F1	NA	green
POC1A	NA	green
CHEK1	NA	green
TTK	NA	green
PTTG1	NA	green
GPSM2	NA	green
CPAMD8	NA	green
CRTAC1	NA	green
PRC1	NA	green
IL20RB	NA	green
MUC6	NA	green
DLGAP5	NA	green
KIF18A	NA	green
TOP2A	NA	green
KRT6A	NA	green
CCNE1	NA	green
DEPDC1B	NA	green
CKS2	NA	green
TRIP13	NA	green
GJB5	NA	green
AJAP1	NA	green
KLK6	NA	green
RAB26	NA	green
ANXA8	NA	green
DIAPH3	NA	green
HMGA2	NA	green
KIF23	NA	green
FOXM1	NA	green
AUNIP	NA	green
OIP5	NA	green
ZMAT1	NA	green
KIF20A	NA	green
DSG3	NA	green
AMY2B	NA	green
CDCA3	NA	green
TSPOAP1	NA	green
BTNL9	NA	green
CDKN3	NA	green
PTPRN2	NA	green
FOXJ1	NA	green
ARX	NA	green
DCDC2	NA	green
FAM189A1	NA	green
PCSK1N	NA	green
EREG	NA	green
UBE2S	NA	green
BCAR3	NA	green
SCGB2A1	NA	green
NCMAP	NA	green
CHD5	NA	green
ULBP2	NA	green
CFTR	NA	green
